C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1     1/24/2017  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	S	Ar	K	Ca	Ti	Cr	Mn	Fe	Ni	Cu	Zn	Br	Rb	Sr	Zr	Tc	Ag	In	Sn	Ba	Pm	Sm	Gd	Tb	Dy	Ho	Tm	Tl	Pb	At	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W lb2	W La in	W Lb1 in	W Lb2 in	Mo inc	Mo coh	Dt	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000000.spe	27.34	5.37	1	0.017510	-0.010617	0.009813	0.091522	23323	2.48	0.000	0.000	0.000	0.035	1.605	0.000	0.032	0.118	0.000	0.000	1.960	0.606	0.000	0.139	0.612	1.044	1.468	2.828	0.049	0.158	0.073	0.103	0.000	0.000	0.000	0.000	0.074	0.069	0.163	0.308	0.000	0.084	0.129	0.446	0.148	0.000	0.000	0.465	0.000	0.000	0.000	0.000	0.000	0.000	115.394	23.256	0.308	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000001.spe	29.34	5.49	1	0.017515	-0.010617	0.009813	0.091522	24943	2.27	0.000	0.000	0.000	0.047	1.510	0.000	0.024	0.084	0.000	0.000	4.777	0.614	0.017	0.057	0.407	1.435	1.895	2.565	0.076	0.186	0.047	0.051	0.000	0.059	0.000	0.000	0.203	0.128	0.279	0.394	0.000	0.093	0.000	0.619	0.153	0.000	0.000	0.752	0.000	0.000	0.000	0.000	0.000	0.022	124.555	24.123	0.314	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000002.spe	31.34	5.32	1	0.017522	-0.010617	0.009813	0.091522	41276	1.41	0.000	0.056	0.623	0.056	1.339	4.490	1.047	4.084	0.147	1.357	140.457	0.652	0.000	0.859	0.704	1.647	2.770	4.146	0.064	0.123	0.000	0.136	0.153	0.121	0.000	0.000	0.000	0.019	0.306	1.543	0.000	0.559	0.000	0.086	0.221	0.406	0.730	4.551	0.106	0.061	0.000	0.000	0.338	0.113	145.934	30.310	0.351	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000003.spe	33.34	5.03	1	0.017518	-0.010617	0.009768	0.091522	48021	1.30	0.000	0.189	0.717	0.082	0.990	5.174	1.670	6.778	0.706	1.781	147.337	0.967	0.000	1.431	0.765	2.457	2.677	5.544	0.037	0.035	0.129	0.102	0.283	0.000	0.091	0.000	0.444	0.000	0.100	1.760	0.000	0.634	0.188	1.078	0.000	0.625	0.889	4.288	0.035	0.000	0.000	0.000	0.022	0.135	172.789	34.890	0.380	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000004.spe	35.34	5.02	1	0.017519	-0.010617	0.009755	0.091522	50939	1.40	0.000	0.176	0.637	0.049	0.875	5.858	1.926	7.457	0.743	2.126	201.181	0.756	0.000	1.696	0.881	2.161	2.704	4.756	0.000	0.116	0.027	0.061	0.414	0.000	0.000	0.000	1.138	0.651	0.433	1.922	0.029	1.014	0.202	0.864	0.173	0.445	0.890	5.969	0.000	0.142	0.000	0.000	0.053	0.000	173.766	34.031	0.386	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000005.spe	37.34	5.02	1	0.017520	-0.010617	0.009737	0.091522	50311	1.49	0.000	0.198	0.788	0.116	0.924	5.351	1.967	6.588	0.524	2.264	202.883	0.874	0.000	1.850	0.759	2.661	2.455	4.562	0.013	0.073	0.218	0.025	0.264	0.000	0.117	0.000	0.000	0.069	0.098	2.249	0.000	0.911	0.000	1.121	0.080	0.515	1.494	6.770	0.181	0.000	0.000	0.000	0.148	0.000	167.009	32.833	0.381	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000006.spe	39.34	5.00	1	0.017515	-0.010617	0.009714	0.091522	47392	1.31	0.000	0.106	0.891	0.107	0.946	6.345	1.672	7.308	0.303	1.575	149.481	0.725	0.139	1.855	0.801	2.796	3.026	5.362	0.000	0.094	0.000	0.261	0.497	0.105	0.068	0.000	1.587	0.000	0.868	1.555	0.225	1.041	0.252	0.689	0.278	0.341	0.253	4.632	0.081	0.283	0.040	0.018	0.814	0.475	167.732	33.824	0.374	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000007.spe	41.34	5.00	1	0.017517	-0.010617	0.009806	0.091522	51395	1.51	0.000	0.129	0.801	0.170	1.064	5.526	1.955	7.627	0.301	1.597	214.595	0.685	0.000	1.400	0.704	2.516	2.830	5.684	0.020	0.060	0.172	0.069	0.470	0.128	0.000	0.000	1.958	0.000	0.671	1.835	0.000	0.992	0.058	0.518	0.000	0.408	1.276	5.514	0.000	0.000	0.038	0.000	0.344	0.165	174.018	35.811	0.392	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000008.spe	43.34	4.95	1	0.017516	-0.010617	0.009797	0.091522	54526	1.54	0.000	0.129	0.594	0.156	0.882	4.146	1.757	5.559	0.524	2.316	253.424	0.746	0.000	1.317	1.333	2.351	2.103	3.650	0.025	0.154	0.092	0.090	0.317	0.000	0.000	0.000	1.084	0.000	0.781	2.339	0.223	1.349	0.202	1.165	0.043	0.424	1.173	8.252	0.000	0.270	0.000	0.000	0.670	0.000	189.485	36.038	0.406	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000009.spe	45.34	4.94	1	0.017514	-0.010617	0.009755	0.091522	47597	1.38	0.000	0.015	0.649	0.058	0.604	4.271	1.833	5.016	0.229	2.053	132.514	0.861	0.131	1.211	1.206	1.696	2.035	2.596	0.074	0.275	0.000	0.135	0.198	0.182	0.000	0.000	1.346	0.000	0.220	1.404	0.047	1.047	0.157	1.232	0.000	0.491	0.875	3.928	0.000	0.000	0.000	0.000	0.357	0.000	178.538	31.372	0.373	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000010.spe	47.34	4.93	1	0.017514	-0.010617	0.009778	0.091522	44185	1.43	0.000	0.087	0.648	0.079	1.104	3.914	1.421	4.821	0.000	1.389	134.367	0.785	0.069	1.202	0.809	1.102	1.856	3.170	0.044	0.077	0.000	0.168	0.211	0.344	0.021	0.000	1.279	0.000	0.422	1.418	0.000	0.561	0.091	0.133	0.475	0.437	0.626	4.179	0.000	0.013	0.000	0.000	0.113	0.078	154.907	29.368	0.349	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000011.spe	49.34	5.05	1	0.017517	-0.010617	0.009813	0.091522	43836	1.54	0.000	0.053	0.625	0.026	0.978	3.952	1.238	4.754	0.603	1.042	227.797	0.473	0.000	0.707	0.771	1.632	1.449	2.976	0.067	0.054	0.310	0.000	0.238	0.000	0.000	0.000	0.970	0.000	0.320	2.164	0.000	0.531	0.217	0.225	0.000	0.698	1.079	6.819	0.000	0.000	0.051	0.000	0.325	0.300	119.123	24.140	0.325	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000012.spe	51.34	5.05	1	0.017519	-0.010617	0.009882	0.091522	45439	1.43	0.000	0.025	1.190	0.045	0.999	6.268	1.205	6.919	0.527	1.144	214.267	0.807	0.000	1.189	0.485	2.120	1.929	4.339	0.000	0.049	0.261	0.028	0.454	0.011	0.095	0.000	0.233	0.589	0.155	1.859	0.000	0.434	0.164	1.032	0.000	0.778	1.023	6.684	0.232	0.089	0.000	0.000	0.440	0.414	128.677	29.165	0.337	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000013.spe	53.34	5.04	1	0.017515	-0.010617	0.009816	0.091522	41777	1.27	0.000	0.035	1.308	0.000	1.017	6.398	1.234	7.342	0.761	1.123	150.902	0.750	0.000	1.102	0.133	2.727	2.152	4.372	0.049	0.046	0.333	0.030	0.741	0.000	0.146	0.000	0.776	0.000	0.317	1.620	0.260	0.012	0.332	0.691	0.000	0.518	0.806	5.034	0.270	0.248	0.000	0.000	0.437	0.278	125.920	29.368	0.330	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000014.spe	55.34	5.07	1	0.017517	-0.010617	0.009793	0.091522	42990	1.39	0.000	0.151	1.422	0.000	0.848	6.620	1.298	7.168	1.174	1.117	143.672	0.714	0.000	1.372	0.330	2.421	2.631	4.891	0.000	0.147	0.377	0.000	0.526	0.000	0.043	0.000	0.865	0.000	0.518	1.400	0.000	0.686	0.267	0.693	0.356	0.225	0.396	4.606	0.081	0.174	0.000	0.000	0.353	0.000	137.387	30.540	0.341	
C:\Data\Name_240117_Mo_THB\WV17-2-D1\WV17-2-D1\XRF data\L000015.spe	57.34	5.08	1	0.017519	-0.010617	0.009856	0.091522	43576	1.31	0.000	0.148	1.543	0.080	1.074	7.045	1.268	8.545	0.262	1.051	143.725	0.957	0.176	1.583	0.181	2.512	2.674	5.740	0.019	0.086	0.000	0.177	0.401	0.226	0.115	0.000	0.419	0.466	0.308	1.264	0.000	0.581	0.136	0.797	0.074	0.518	0.695	4.497	0.487	0.059	0.000	0.214	0.901	0.000	141.808	32.065	0.346	
