C:\Data\Matt_Lake_Eight_3_Mo_THB\Matt_Lake_Eight_3     8/30/2016  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	cps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Ni	Cu	Zn	As	Br	Rb	Sr	Y	Zr	Ba	Ce	Pr	Nd	Sm	Dy	Pb	Fe a*2	Fe a+b	Fe X1	Fe X2	Fe X3	W La	W Lb1	W lb2	W La in	W Lb1 in	W Lb2 in	Mo inc	Mo coh	Dt	
C:\Data\Matt_Lake_Eight_3_Mo_THB\Matt_Lake_Eight_3\XRF data\L000000.spe	84.38	4.51	1	0.017520	-0.009652	0.009680	0.089277	22071	1.74	0.000	0.089	0.501	0.041	0.049	0.012	1.117	3.845	6.886	5.445	0.454	1.414	1.895	181.085	0.344	1.195	0.721	0.000	0.000	1.271	2.352	0.221	0.998	0.168	0.161	0.094	0.207	0.031	0.568	0.000	0.143	0.202	0.448	0.785	5.708	2.997	2.160	0.841	1.795	1.317	1.093	74.415	16.370	0.189	
C:\Data\Matt_Lake_Eight_3_Mo_THB\Matt_Lake_Eight_3\XRF data\L000001.spe	84.58	4.51	1	0.017520	-0.009652	0.009680	0.089277	23209	1.78	0.000	0.075	0.483	0.012	0.047	0.015	1.089	4.138	7.473	6.539	0.444	1.528	2.122	197.632	0.489	1.145	0.657	0.000	0.000	1.595	3.328	0.556	1.197	0.052	0.214	0.050	0.201	0.088	0.300	0.226	0.512	0.119	0.413	0.938	6.532	2.648	2.308	0.747	1.881	1.179	0.979	79.837	17.922	0.197	
C:\Data\Matt_Lake_Eight_3_Mo_THB\Matt_Lake_Eight_3\XRF data\L000002.spe	84.78	4.52	1	0.017519	-0.009652	0.009725	0.089277	22866	1.72	0.000	0.162	0.466	0.015	0.066	0.030	1.086	4.067	7.384	5.817	0.450	1.488	2.218	192.365	0.466	1.030	0.558	0.000	0.000	1.889	3.328	0.530	0.867	0.249	0.129	0.081	0.166	0.148	0.430	0.160	0.000	0.126	0.286	0.787	6.313	2.605	2.048	0.529	1.961	1.148	1.054	81.323	18.039	0.199	
C:\Data\Matt_Lake_Eight_3_Mo_THB\Matt_Lake_Eight_3\XRF data\L000003.spe	84.98	4.53	1	0.017519	-0.009652	0.009705	0.089277	23302	1.79	0.000	0.087	0.471	0.088	0.025	0.032	1.173	4.295	7.748	6.051	0.376	1.456	2.477	199.637	0.394	1.085	0.684	0.000	0.068	1.812	3.465	0.412	0.935	0.302	0.097	0.025	0.247	0.072	0.241	0.204	0.319	0.055	0.361	0.821	7.299	2.777	2.325	0.707	1.604	1.019	1.129	83.538	18.838	0.201	
C:\Data\Matt_Lake_Eight_3_Mo_THB\Matt_Lake_Eight_3\XRF data\L000004.spe	85.18	4.54	1	0.017521	-0.009652	0.009705	0.089277	25122	1.92	0.010	0.144	0.556	0.057	0.056	0.000	1.152	5.462	8.538	7.430	0.453	1.481	2.785	229.636	0.498	1.162	0.844	0.000	0.042	2.199	3.768	0.564	1.368	0.245	0.179	0.146	0.204	0.109	0.769	0.036	0.446	0.000	0.595	0.953	7.749	3.185	2.438	0.758	1.461	1.189	1.316	85.485	19.189	0.205	
C:\Data\Matt_Lake_Eight_3_Mo_THB\Matt_Lake_Eight_3\XRF data\L000005.spe	85.38	4.55	1	0.017522	-0.009652	0.009754	0.089277	27252	1.77	0.000	0.096	0.642	0.074	0.117	0.000	1.207	6.375	10.681	8.604	0.665	1.761	3.277	264.373	0.380	1.267	1.052	0.000	0.000	2.145	4.042	0.544	0.989	0.070	0.308	0.159	0.250	0.042	0.754	0.000	0.308	0.000	0.542	1.118	8.067	3.364	2.564	0.852	1.744	1.289	1.311	89.838	20.816	0.209	
C:\Data\Matt_Lake_Eight_3_Mo_THB\Matt_Lake_Eight_3\XRF data\L000006.spe	85.58	4.56	1	0.017522	-0.009652	0.009778	0.089277	28620	1.95	0.000	0.119	0.611	0.017	0.086	0.025	1.178	6.705	11.819	9.497	0.748	1.911	3.835	293.874	0.565	1.377	1.162	0.000	0.000	2.050	4.022	0.469	1.092	0.284	0.282	0.151	0.244	0.045	0.804	0.265	0.243	0.060	0.966	1.286	8.373	3.284	2.538	0.877	1.778	1.455	1.162	89.475	20.842	0.213	
C:\Data\Matt_Lake_Eight_3_Mo_THB\Matt_Lake_Eight_3\XRF data\L000007.spe	85.78	4.56	1	0.017523	-0.009652	0.009797	0.089277	30281	2.09	0.000	0.140	0.694	0.072	0.058	0.031	1.098	7.105	13.154	10.665	0.858	1.736	3.992	326.077	0.520	1.454	1.323	0.000	0.000	2.079	3.827	0.803	1.266	0.168	0.368	0.199	0.291	0.126	1.182	0.240	0.451	0.200	0.852	1.311	9.643	3.585	2.595	1.037	1.856	1.484	1.389	91.705	20.816	0.216	
C:\Data\Matt_Lake_Eight_3_Mo_THB\Matt_Lake_Eight_3\XRF data\L000008.spe	85.98	4.57	1	0.017523	-0.009652	0.009821	0.089277	31271	2.15	0.037	0.185	0.735	0.041	0.021	0.000	1.044	7.272	13.821	10.696	0.879	2.283	4.375	343.633	0.655	1.580	1.221	0.000	0.000	2.073	4.034	0.675	1.295	0.295	0.225	0.166	0.266	0.079	1.060	0.000	0.191	0.255	1.025	1.570	10.110	3.618	2.975	0.744	1.947	1.343	1.437	92.910	21.247	0.219	
C:\Data\Matt_Lake_Eight_3_Mo_THB\Matt_Lake_Eight_3\XRF data\L000009.spe	86.18	4.57	1	0.017519	-0.009652	0.009821	0.089277	30279	2.01	0.012	0.171	0.746	0.033	0.056	0.000	1.144	6.727	12.277	9.572	0.760	2.178	4.036	318.313	0.666	1.532	1.017	0.000	0.000	2.055	3.779	0.841	1.312	0.362	0.088	0.083	0.305	0.115	0.667	0.000	0.516	0.269	0.736	1.461	10.469	3.401	2.675	0.931	1.755	1.571	1.194	95.735	20.941	0.219	
